Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Last 5 Day Avg. Vol,Previous-Last 5 Day Avg. Vol,5 Day Price Change(5Day),STD of 100 Day Price Change(5Day),signal,c_signal,exit,return,str_return,cu_str_return,cu_mar_return
2018-07-12,VEDL,EQ,218.1,218.5,221.0,211.0,211.85,211.4,215.9,16378996,353626291140000.0,129812,4966998,0.3033,12469556.8,13922103.6,-3.200000000000017,11.500712000356819,0,1,5,-0.031201599771446025,-0.031201599771446025,-0.052464832880828025,-0.33474754435554527
2018-07-13,VEDL,EQ,211.4,213.0,213.45,209.1,210.05,210.45,211.04,10718429,226199579585000.0,99377,3175368,0.2963,13216607.6,13919597.8,-7.699999999999989,11.48353942727492,0,0,0,-0.004503978219557716,-0.0,-0.052464832880828025,-0.339251522575103
2018-07-16,VEDL,EQ,210.45,211.5,212.0,204.8,206.0,206.4,209.4,9413761,197128416755000.0,82368,2351408,0.24980000000000002,12538892.4,14435744.2,-16.150000000000006,11.513670782986186,1,1,1,-0.019432061609171918,-0.019432061609171918,-0.07189689448999995,-0.35868358418427493
2018-07-17,VEDL,EQ,206.4,206.0,212.35,203.2,210.25,210.1,209.02,7590806,158663452905000.0,72390,1638683,0.2159,12279159.0,13014183.6,-19.650000000000006,11.486310813795303,1,1,2,0.017767574243546986,0.017767574243546986,-0.054129320246452964,-0.34091600994072796
2018-07-18,VEDL,EQ,210.1,210.0,210.65,202.0,203.9,203.7,205.55,7846762,161289874535000.0,81927,2150077,0.27399999999999997,12094536.6,11546630.8,-8.0,11.465367031264893,0,1,3,-0.03093528461819458,-0.03093528461819458,-0.08506460486464754,-0.3718512945589225
2018-07-19,VEDL,EQ,203.7,205.35,211.25,201.55,208.2,208.2,207.75,12107204,251530362250000.0,99645,1441201,0.11900000000000001,10389750.8,12469556.8,-7.700000000000017,11.388130128703423,0,1,4,0.021850832948108297,0.021850832948108297,-0.06321377191653924,-0.3500004616108142
2018-07-20,VEDL,EQ,208.2,206.05,206.55,200.65,203.0,202.4,202.81,9115587,184872026220000.0,78474,1899280,0.2084,9535392.4,13216607.6,-2.25,11.166526220283668,0,1,5,-0.028253218767557924,-0.028253218767557924,-0.09146699068409717,-0.37825368037837215
2018-07-23,VEDL,EQ,202.4,204.0,213.4,200.7,210.7,211.6,206.75,8931165,184647676475000.0,68020,1577697,0.17670000000000002,9214824.0,12538892.4,-4.0,10.99392894907792,0,0,0,0.044451762570833796,0.0,-0.09146699068409717,-0.3338019178075384
2018-07-24,VEDL,EQ,211.6,209.0,220.0,208.0,215.65,216.25,216.51,15754032,341096634690000.0,124074,5886971,0.3737,9118304.8,12279159.0,1.5,10.86173033446263,0,0,0,0.021737445827844402,0.0,-0.09146699068409717,-0.31206447197969395
2018-07-25,VEDL,EQ,216.25,217.15,221.75,216.75,218.15,218.95,219.67,11261855,247387731835000.0,82669,3150899,0.2798,10750950.0,12094536.6,12.550000000000011,10.988888085863655,-1,-1,-1,0.012408247435418544,-0.012408247435418544,-0.10387523811951571,-0.29965622454427543
2018-07-26,VEDL,EQ,218.95,220.7,221.65,215.5,217.3,216.5,218.26,7164072,156361779295000.0,78662,2094094,0.2923,11433968.6,10389750.8,10.75,11.059927427292166,0,-1,-2,-0.011252845804862821,0.011252845804862821,-0.09262239231465288,-0.31090907034913823
2018-07-27,VEDL,EQ,216.5,218.0,221.0,216.55,220.0,219.75,218.79,6695579,146494658205000.0,88187,2217884,0.3312,10445342.2,9535392.4,14.099999999999994,10.987702308499346,0,-1,-3,0.014899989122741797,-0.014899989122741797,-0.10752238143739468,-0.2960090812263964
2018-07-30,VEDL,EQ,219.75,221.9,226.0,220.6,225.0,224.9,224.29,8293254,186009933775000.0,93962,2147833,0.259,9961340.6,9214824.0,8.150000000000006,10.81716130913645,0,-1,-4,0.023165322399983555,-0.023165322399983555,-0.13068770383737824,-0.2728437588264129
2018-07-31,VEDL,EQ,224.9,225.0,225.05,218.75,222.75,222.2,221.84,7121436,157981721910000.0,64304,1129111,0.1586,9833758.4,9118304.8,8.650000000000006,10.765190477186218,0,-1,-5,-0.012077981759740411,0.012077981759740411,-0.11860972207763783,-0.28492174058615327
